0	0	648000	157950000
1	6	1296000	315900000
2	12	1296000	315900000
3	18	1296000	315900000
4	24	1296000	315900000
5	30	1296000	315900000
6	36	1296000	315900000
7	42	1296000	315900000
8	48	1296000	315900000
9	54	1296000	315900000
10	60	1296000	315900000
11	66	1296000	315900000
12	72	1296000	315900000
13	78	1296000	315900000
14	84	1296000	315900000
15	90	1296000	315900000
16	96	1296000	315900000
17	102	1296000	315900000
18	108	1296000	315900000
19	114	1296000	315900000
20	120	1296000	315900000
21	126	1296000	315900000
22	132	1296000	315900000
23	138	1296000	315900000
24	144	1296000	315900000
25	150	1296000	315900000
26	156	1296000	315900000
27	162	1296000	315900000
28	168	1296000	315900000
29	174	1296000	315900000
30	180	648000	157950000
